Condition,MedCode,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
"Neurotic, stress-related and somatoform disorders",295029017,191744004,295029017,E20y1,E20y100,Writer's cramp neurosis
"Neurotic, stress-related and somatoform disorders",295031014,111475002,178715018,E20y2,E20y200,Other occupational neurosis
"Neurotic, stress-related and somatoform disorders",295032019,191746002,295032019,E20y3,E20y300,Psychasthenic neurosis
"Neurotic, stress-related and somatoform disorders",295033012,111475002,178715018,E20yz,E20yz00,Other neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",401783019,111475002,1219652011,E20z,E20z.00,Neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",296224013,386810004,1491809016,Eu40,Eu40.00,[X]Phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",362871000006111,70691001,117416017,Eu400,Eu40000,[X]Agoraphobia
"Neurotic, stress-related and somatoform disorders",418051000006118,191722009,294992011,Eu400-2,Eu40012,[X]Panic disorder with agoraphobia
"Neurotic, stress-related and somatoform disorders",427071000006115,25501002,42759014,Eu401,Eu40100,[X]Social phobias
"Neurotic, stress-related and somatoform disorders",427061000006110,25501002,42759014,Eu401-2,Eu40112,[X]Social neurosis
"Neurotic, stress-related and somatoform disorders",427231000006111,54587008,90725015,Eu402,Eu40200,[X]Specific (isolated) phobias
"Neurotic, stress-related and somatoform disorders",362181000006117,54587008,90725015,Eu402-1,Eu40211,[X]Acrophobia
"Neurotic, stress-related and somatoform disorders",363281000006117,54307006,1231321013,Eu402-2,Eu40212,[X]Animal phobias
"Neurotic, stress-related and somatoform disorders",371071000006117,54587008,90725015,Eu402-3,Eu40213,[X]Claustrophobia
"Neurotic, stress-related and somatoform disorders",426871000006113,386810004,1491809016,Eu402-4,Eu40214,[X]Simple phobia
"Neurotic, stress-related and somatoform disorders",980191000006111,231501003,346974017,Eu403,Eu40300,[X]Needle phobia
"Neurotic, stress-related and somatoform disorders",296236019,386810004,1491809016,Eu40y,Eu40y00,[X]Other phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",296237011,386810004,1480929014,Eu40z,Eu40z00,"[X]Phobic anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",420631000006114,386810004,1480929014,Eu40z-1,Eu40z11,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",420671000006112,386810004,1480929014,Eu40z-2,Eu40z12,[X]Phobic state NOS
"Neurotic, stress-related and somatoform disorders",296238018,197480006,303689015,Eu41,Eu41.00,[X]Other anxiety disorders
"Neurotic, stress-related and somatoform disorders",296239014,371631005,1210253015,Eu410,Eu41000,[X]Panic disorder [episodic paroxysmal anxiety]
"Neurotic, stress-related and somatoform disorders",418031000006113,371631005,1210253015,Eu410-1,Eu41011,[X]Panic attack
"Neurotic, stress-related and somatoform disorders",418061000006116,371631005,1210253015,Eu410-2,Eu41012,[X]Panic state
"Neurotic, stress-related and somatoform disorders",388071000006116,21897009,481154010,Eu411,Eu41100,[X]Generalized anxiety disorder
"Neurotic, stress-related and somatoform disorders",363651000006111,207363009,317740010,Eu411-1,Eu41111,[X]Anxiety neurosis
"Neurotic, stress-related and somatoform disorders",363671000006118,197480006,303689015,Eu411-2,Eu41112,[X]Anxiety reaction
"Neurotic, stress-related and somatoform disorders",363681000006115,198288003,304838011,Eu411-3,Eu41113,[X]Anxiety state
"Neurotic, stress-related and somatoform disorders",296245018,231504006,346979010,Eu413,Eu41300,[X]Other mixed anxiety disorders
"Neurotic, stress-related and somatoform disorders",401881014,197480006,303689015,Eu41y,Eu41y00,[X]Other specified anxiety disorders
"Neurotic, stress-related and somatoform disorders",363641000006114,197480006,303689015,Eu41y-1,Eu41y11,[X]Anxiety hysteria
"Neurotic, stress-related and somatoform disorders",296249012,197480006,303689015,Eu41z,Eu41z00,"[X]Anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",363661000006113,197480006,303689015,Eu41z-1,Eu41z11,[X]Anxiety NOS
